date,0,1,2,3,4,5,6,7,8,9
2017/3/3,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
2017/3/6,997504.304,997500.215,997195.9405,997347.659,997136.1223,996069.8081,995337.0588,997683.1182,997604.528,995938.9708
2017/3/7,996716.0939,995635.0802,996613.9749,995741.7537,996366.7354,994755.2197,994769.0604,995735.8719,996818.8499,994460.9744
2017/3/8,995114.6621,996429.9042,997416.9151,996646.5436,996364.7615,994650.9609,995550.2072,996446.136,994805.8108,993671.966
2017/3/9,998107.533,999433.5002,1001484.977,999640.3232,999679.4249,997824.2883,998590.1559,999706.9563,997991.8988,997891.0117
2017/3/10,1000885.893,1002645.014,1004420.314,1002387.68,1002070.865,1001706.384,1001797.112,1002438.504,1001658.217,1000832.015
2017/3/13,1000436.9,1002190.718,1003268.387,1001500.923,1001103.083,1000455.897,1000458.119,1001260.242,1000363.234,999254.138
2017/3/14,996835.4507,998236.8958,999695.365,998279.9087,997153.5518,997159.4421,996846.5803,997516.5024,996594.4693,995233.1879
2017/3/15,1001532.652,1002863.699,1004530.964,1002980.618,1001723.743,1002278.45,1001790.298,1002239.708,1001198.478,999068.3045
2017/3/16,1002991.766,1004803.731,1006543.873,1004713.811,1003705.85,1004286.846,1003510.244,1003886.841,1002981.009,1000762.569
2017/3/17,1005138.701,1006844.305,1008286.578,1006705.635,1005744.196,1006628.028,1006198.27,1005942.499,1005017.882,1002864.842
2017/3/20,1005947.938,1007655.496,1009098.931,1007516.714,1006554.5,1007022.029,1007008.941,1007048.404,1005827.601,1003707.775
2017/3/21,991272.6804,993630.0068,994347.5953,994065.5301,991840.36,992394.4774,992288.1574,992625.7197,992434.0653,988333.1538
2017/3/22,995464.6613,996265.9256,998550.0168,997573.5365,996192.2521,998297.8002,995781.1016,995157.9916,997166.4286,992712.372
2017/3/23,992596.7317,993815.0084,995856.2014,994528.8843,993353.615,995411.2693,993257.2524,993005.2671,994474.8613,989991.4708
2017/3/24,992062.1111,994193.0498,996335.4457,994489.6372,993539.0651,995716.5172,993160.5346,992911.3949,994608.5085,990175.3554
2017/3/27,990743.4815,992749.3033,995744.0879,993874.3666,992642.6454,994264.0154,992395.7268,991851.3888,993505.2834,988967.164
2017/3/28,1000310.204,1003561.322,1005554.31,1002765.202,1001559.375,1004457.879,1002801.507,1002103.778,1003704.821,997022.1095
2017/3/29,997096.9044,1000097.835,1002198.244,999034.1638,997838.6247,1001032.815,999578.8634,998220.046,1000695.318,994420.0221
2017/3/30,1000889.63,1005204.339,1007172.894,1003583.094,1001106.821,1004247.967,1004080.226,1000849.3,1003906.711,998208.5061
2017/3/31,998625.4423,1002579.844,1004778.021,1000727.828,998404.0452,1002044.518,1001571.68,997867.5729,1002240.46,995045.4856
2017/4/3,991850.8429,996296.8066,997628.515,993455.6378,991551.9655,994946.8215,995305.465,991445.6323,995654.9112,988098.4021
